控制器,物理CAN,作用域,报文类型,CAN ID,方向,周期,分类,Byte,Bit,信号名,说明
算法PCB,CAN2(编码器链),左臂,传感器数据,0x181,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,左臂root_raw,
算法PCB,CAN2(编码器链),左臂,传感器数据,0x182,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,左臂base_raw,
算法PCB,CAN2(编码器链),左臂,传感器数据,0x183,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,左臂boom_raw,
算法PCB,CAN2(编码器链),左臂,传感器数据,0x184,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,左臂d1_raw,
算法PCB,CAN2(编码器链),左臂,传感器数据,0x185,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,左臂e1_raw,
算法PCB,CAN2(编码器链),左臂,传感器数据,0x186,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,左臂f_raw,
算法PCB,CAN2(编码器链),左臂,传感器数据,0x187,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,左臂cd_raw,
算法PCB,CAN2(编码器链),左臂,传感器数据,0x188,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,左臂gg1_raw,
算法PCB,CAN2(编码器链),左臂,传感器数据,0x189,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,左臂深度,
算法PCB,CAN2(编码器链),中臂,传感器数据,0x192,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,中臂base_raw,
算法PCB,CAN2(编码器链),中臂,传感器数据,0x193,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,中臂boom_raw,
算法PCB,CAN2(编码器链),中臂,传感器数据,0x194,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,中臂d1_raw,
算法PCB,CAN2(编码器链),中臂,传感器数据,0x195,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,中臂e1_raw,
算法PCB,CAN2(编码器链),中臂,传感器数据,0x196,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,中臂f_raw,
算法PCB,CAN2(编码器链),中臂,传感器数据,0x197,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,中臂cd_raw,
算法PCB,CAN2(编码器链),中臂,传感器数据,0x198,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,中臂gg1_raw,
算法PCB,CAN2(编码器链),中臂,传感器数据,0x199,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,中臂深度,
算法PCB,CAN2(编码器链),右臂,传感器数据,0x1A1,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,右臂root_raw,
算法PCB,CAN2(编码器链),右臂,传感器数据,0x1A2,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,右臂base_raw,
算法PCB,CAN2(编码器链),右臂,传感器数据,0x1A3,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,右臂boom_raw,
算法PCB,CAN2(编码器链),右臂,传感器数据,0x1A4,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,右臂d1_raw,
算法PCB,CAN2(编码器链),右臂,传感器数据,0x1A5,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,右臂e1_raw,
算法PCB,CAN2(编码器链),右臂,传感器数据,0x1A6,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,右臂f_raw,
算法PCB,CAN2(编码器链),右臂,传感器数据,0x1A7,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,右臂cd_raw,
算法PCB,CAN2(编码器链),右臂,传感器数据,0x1A8,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,右臂gg1_raw,
算法PCB,CAN2(编码器链),右臂,传感器数据,0x1A9,编码器至算法PCB,40ms,编码器/角度原始量,B0-B3,,右臂深度,
算法PCB,CAN1(编码器链),共享姿态,传感器数据,0x28F,编码器至算法PCB,40ms,车体姿态,B0-B3,,body_roll/body_pitch,
算法PCB,CAN1(算法PCB链),共享姿态,算法数据,0x150,发送至电脑,50ms,末端点坐标,B0-B3,,末端点坐标x,
算法PCB,CAN1(算法PCB链),共享姿态,算法数据,0x150,发送至电脑,50ms,末端点坐标,B4-B7,,末端点坐标y,
算法PCB,CAN1(算法PCB链),共享姿态,算法数据,0x151,发送至电脑,50ms,末端点坐标,B0-B3,,末端点坐标z,
算法PCB,CAN1(算法PCB链),共享姿态,算法数据,0x152,发送至电脑,80ms,夹角坐标,B0-B3,,推进梁和XZ面夹角,
算法PCB,CAN1(算法PCB链),共享姿态,算法数据,0x152,发送至电脑,80ms,夹角坐标,B4-B7,,推进梁和XY面夹角,
算法PCB,CAN1(算法PCB链),左臂,传感器数据,0x153,发送至电脑、整车控制器PCB,50ms,钻孔深度,B0-B1,,左臂实时凿岩深度,
